PWM,RPM
159.838,1470.0
159.934,1500.0
160.03,1470.0
160.126,1500.0
160.126,1500.0
160.126,1500.0
160.222,1470.0
160.318,1500.0
160.318,1500.0
160.318,1500.0
160.318,1500.0
160.318,1500.0
160.318,1500.0
160.318,1500.0
160.414,1470.0
165.406,1470.0
165.598,1470.0
165.694,1500.0
165.694,1500.0
165.79,1470.0
165.982,1470.0
166.174,1470.0
166.27,1500.0
166.366,1470.0
166.462,1500.0
166.462,1500.0
166.462,1500.0
166.558,1470.0
166.75,1470.0
166.846,1500.0
166.846,1500.0
166.942,1470.0
167.038,1500.0
167.038,1500.0
167.038,1500.0
167.134,1470.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.326,1470.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.326,1530.0
167.23,1500.0
167.134,1530.0
167.038,1500.0
167.038,1500.0
166.942,1530.0
166.846,1500.0
166.846,1500.0
166.846,1500.0
166.75,1530.0
166.654,1500.0
166.654,1500.0
166.654,1500.0
166.558,1530.0
166.462,1500.0
166.462,1500.0
166.462,1500.0
166.366,1530.0
166.27,1500.0
166.27,1500.0
166.27,1500.0
166.174,1530.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
165.982,1530.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.79,1530.0
165.79,1470.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.886,1500.0
165.982,1470.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.078,1500.0
166.174,1470.0
166.27,1500.0
166.27,1500.0
166.27,1500.0
166.27,1500.0
166.366,1470.0
166.462,1500.0
166.462,1500.0
166.558,1470.0
166.75,1470.0
166.846,1500.0
166.846,1500.0
166.942,1470.0
167.134,1470.0
167.23,1500.0
167.326,1470.0
167.422,1500.0
167.518,1470.0
167.71,1470.0
167.806,1500.0
167.902,1470.0
167.998,1500.0
168.094,1470.0
168.19,1500.0
168.286,1470.0
168.382,1500.0
168.382,1500.0
168.478,1470.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.67,1470.0
168.67,1530.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.574,1500.0
168.478,1530.0
168.382,1500.0
168.382,1500.0
168.286,1530.0
168.19,1500.0
168.094,1530.0
167.998,1500.0
167.902,1530.0
167.806,1500.0
167.806,1500.0
167.71,1530.0
167.614,1500.0
167.614,1500.0
167.614,1500.0
167.614,1500.0
167.614,1500.0
167.614,1500.0
167.614,1500.0
167.71,1470.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.902,1470.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
168.094,1470.0
168.19,1500.0
168.19,1500.0
168.19,1500.0
168.19,1500.0
168.19,1500.0
168.094,1530.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
167.902,1530.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.806,1500.0
167.902,1470.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
167.998,1500.0
168.094,1470.0
168.19,1500.0
168.19,1500.0
168.19,1500.0
168.19,1500.0
168.094,1530.0
167.998,1500.0
167.902,1530.0
167.806,1500.0
167.806,1500.0
167.71,1530.0
167.518,1530.0
167.422,1500.0
167.326,1530.0
167.134,1530.0
167.038,1500.0
166.942,1530.0
166.75,1530.0
166.654,1500.0
166.558,1530.0
166.462,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.23,1500.0
167.326,1470.0
167.422,1500.0
167.422,1500.0
167.422,1500.0
167.518,1470.0
167.614,1500.0
167.614,1500.0
167.71,1470.0
167.902,1470.0
167.998,1500.0
168.094,1470.0
168.19,1500.0
168.286,1470.0
168.478,1470.0
168.67,1470.0
168.862,1470.0
169.15,1440.0
169.438,1470.0
169.63,1470.0
169.918,1440.0
170.206,1470.0
170.494,1440.0
170.782,1470.0
171.07,1440.0
171.358,1470.0
171.646,1440.0
171.934,1470.0
172.126,1470.0
172.414,1440.0
172.702,1470.0
172.894,1470.0
173.086,1470.0
173.374,1440.0
173.662,1470.0
173.854,1470.0
173.95,1500.0
174.141,1440.0
174.333,1500.0
174.429,1470.0
174.525,1500.0
174.621,1470.0
174.813,1470.0
174.909,1500.0
175.005,1470.0
175.197,1470.0
175.389,1470.0
175.581,1470.0
175.677,1500.0
175.869,1440.0
176.157,1470.0
176.349,1470.0
176.541,1470.0
176.733,1470.0
176.925,1470.0
177.213,1440.0
177.501,1470.0
177.693,1470.0
177.885,1470.0
178.173,1440.0
178.461,1470.0
178.653,1470.0
178.845,1470.0
179.133,1440.0
179.421,1470.0
179.613,1470.0
179.901,1440.0
180.285,1440.0
180.573,1470.0
180.861,1440.0
181.245,1440.0
181.629,1440.0
182.013,1440.0
182.397,1440.0
182.781,1440.0
183.165,1440.0
183.453,1470.0
183.645,1470.0
183.933,1440.0
184.221,1470.0
184.413,1470.0
184.605,1470.0
184.797,1470.0
185.085,1440.0
185.373,1470.0
185.469,1500.0
185.661,1440.0
185.949,1470.0
186.141,1470.0
186.333,1470.0
186.525,1470.0
186.717,1470.0
186.909,1470.0
187.101,1470.0
187.293,1470.0
187.485,1470.0
187.677,1470.0
187.869,1470.0
188.061,1470.0
188.253,1470.0
188.445,1470.0
