Tempo (s),PWM,RPM
3.939,255.0,2220.0
3.949,255.0,2250.0
3.959,255.0,2280.0
3.969,255.0,2310.0
3.979,254.936,2310.0
3.989,254.968,2280.0
3.999,255.0,2220.0
4.009,255.0,2220.0
4.019,255.0,2220.0
4.029,255.0,2250.0
4.039,255.0,2250.0
4.049,255.0,2220.0
4.059,255.0,2190.0
4.069,255.0,2190.0
4.079,255.0,2220.0
4.089,255.0,2190.0
4.099,255.0,2220.0
4.109,255.0,2190.0
4.119,255.0,2160.0
4.129,255.0,2160.0
4.14,255.0,2160.0
4.149,255.0,2190.0
4.159,255.0,2160.0
4.169,255.0,2130.0
4.179,255.0,2160.0
4.189,255.0,2130.0
4.199,255.0,2130.0
4.209,255.0,2160.0
4.219,255.0,2130.0
4.229,255.0,2130.0
4.239,255.0,2130.0
4.249,255.0,2100.0
4.259,255.0,2130.0
4.529,255.0,2130.0
4.539,255.0,2130.0
4.549,255.0,2160.0
4.559,255.0,2130.0
4.569,255.0,2130.0
4.579,255.0,2130.0
4.589,255.0,2130.0
4.599,255.0,2130.0
4.609,255.0,2130.0
4.619,255.0,2130.0
4.629,255.0,2100.0
4.639,255.0,2100.0
4.649,255.0,2100.0
4.659,255.0,2100.0
4.669,255.0,2100.0
4.679,255.0,2070.0
4.689,255.0,2100.0
4.699,255.0,2100.0
4.709,255.0,2070.0
4.719,255.0,2100.0
4.729,255.0,1740.0
4.739,255.0,1800.0
4.749,255.0,1830.0
4.759,255.0,1890.0
4.769,255.0,1890.0
4.78,255.0,1950.0
4.789,255.0,1920.0
4.799,255.0,1950.0
4.809,255.0,1950.0
4.819,255.0,1950.0
4.829,255.0,1980.0
4.839,255.0,1950.0
4.849,255.0,1980.0
4.859,255.0,1980.0
4.869,255.0,1980.0
4.879,255.0,1980.0
4.889,255.0,1980.0
4.899,255.0,1950.0
4.909,255.0,1980.0
4.919,255.0,1980.0
4.929,255.0,1980.0
4.939,255.0,1950.0
4.95,255.0,1950.0
4.959,255.0,1980.0
4.969,255.0,1920.0
4.979,255.0,1950.0
4.989,255.0,1950.0
4.999,255.0,1920.0
5.009,255.0,1920.0
5.019,255.0,1920.0
5.029,255.0,1920.0
5.039,255.0,1920.0
5.049,255.0,1920.0
5.059,255.0,1890.0
5.069,255.0,1920.0
5.079,255.0,1890.0
5.089,255.0,1890.0
5.099,255.0,1890.0
5.109,255.0,1920.0
5.12,255.0,1890.0
5.129,255.0,1890.0
5.139,255.0,1890.0
5.149,255.0,1890.0
5.159,255.0,1890.0
5.169,255.0,1890.0
5.179,255.0,1890.0
5.189,255.0,1890.0
5.199,255.0,1890.0
5.209,255.0,1890.0
5.219,255.0,1890.0
5.229,255.0,1890.0
5.239,255.0,1890.0
5.249,255.0,1890.0
5.259,255.0,1890.0
5.269,255.0,1890.0
5.279,255.0,1920.0
5.289,255.0,1890.0
5.299,255.0,1890.0
5.309,255.0,1920.0
5.319,255.0,1890.0
5.329,255.0,1890.0
5.339,255.0,1920.0
