PWM,RPM
255.0,2130.0
255.0,2100.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2160.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2130.0
255.0,2100.0
255.0,2100.0
255.0,2100.0
255.0,2100.0
255.0,2100.0
255.0,2070.0
255.0,2100.0
255.0,2100.0
255.0,2070.0
255.0,2100.0
255.0,1740.0
255.0,1800.0
255.0,1830.0
255.0,1890.0
255.0,1890.0
255.0,1950.0
255.0,1920.0
255.0,1950.0
255.0,1950.0
255.0,1950.0
255.0,1980.0
255.0,1950.0
255.0,1980.0
255.0,1980.0
255.0,1980.0
255.0,1980.0
255.0,1980.0
255.0,1950.0
255.0,1980.0
255.0,1980.0
255.0,1980.0
255.0,1950.0
255.0,1950.0
255.0,1980.0
255.0,1920.0
255.0,1950.0
255.0,1950.0
255.0,1920.0
255.0,1920.0
255.0,1920.0
255.0,1920.0
255.0,1920.0
255.0,1920.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1920.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1890.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1860.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1830.0
255.0,1860.0
255.0,1830.0
255.0,1830.0
255.0,1860.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
255.0,1830.0
